Medi-Cal UA and UB Modifier Maximum Allowable Reimbursement Rates for Surgical and Anesthesia Supplies and Drugs as of February 2016,,,,,,,,,,,
Procedure Code,,Outpatient,,,,Procedure Code,,Medical,,,UA - Medicaid level of care 10
From,Thru,UA,UB,,,From,Thru,UA,UB,,UB - Medicaid level of care 11
20526,20553,$3.00,$3.00,,,20526,20553,$8.00,$8.00,,
20555,20555,$20.00,$35.00,,,20555,20555,$25.00,$40.00,,
20600,20611,$14.00,$34.00,,,20600,20611,$19.00,$39.00,,
20612,20612,$14.00,$34.00,,,20612,20612,$19.00,$39.00,,
20615,20615,$20.00,$50.00,,,20615,20615,$25.00,$55.00,,
20650,20650,$25.00,$55.00,,,20650,20650,$30.00,$60.00,,
20660,20660,$25.00,$55.00,,,20660,20660,$30.00,$60.00,,
20661,20663,$30.00,$60.00,,,20661,20663,$35.00,$65.00,,
20664,20664,$25.00,$55.00,,,20664,20664,$30.00,$60.00,,
20665,20665,$10.00,$10.00,,,20665,20665,$15.00,$15.00,,
20670,20670,$12.00,$32.00,,,20670,20670,$17.00,$37.00,,
20680,20680,$28.00,$58.00,,,20680,20680,$33.00,$63.00,,
20690,20690,$30.00,$60.00,,,20690,20690,$35.00,$65.00,,
20692,20692,$30.00,$60.00,,,20692,20692,$35.00,$65.00,,
20693,20693,$30.00,$60.00,,,20693,20693,$35.00,$65.00,,
20694,20694,$39.00,$69.00,,,20694,20694,$44.00,$74.00,,
20696,20697,$30.00,$60.00,,,20696,20697,$35.00,$65.00,,
20802,20812,$100.00,$130.00,,,20802,20812,$105.00,$135.00,,
20816,20828,$35.00,$65.00,,,20816,20828,$40.00,$70.00,,
20832,20838,$90.00,$120.00,,,20832,20838,$95.00,$125.00,,
20840,20840,$70.00,$100.00,,,20840,20840,$75.00,$105.00,,
20900,20900,$35.00,$65.00,,,20900,20900,$40.00,$70.00,,
20902,20902,$45.00,$75.00,,,20902,20902,$50.00,$80.00,,
20910,20912,$30.00,$60.00,,,20910,20912,$35.00,$65.00,,
20920,20922,$30.00,$60.00,,,20920,20922,$35.00,$65.00,,
20924,20924,$40.00,$70.00,,,20924,20924,$45.00,$75.00,,
20926,20926,$30.00,$60.00,,,20926,20926,$35.00,$65.00,,
20930,20931,$30.00,$60.00,,,20930,20931,$35.00,$65.00,,
20936,20938,$30.00,$60.00,,,20936,20938,$35.00,$65.00,,
20950,20950,$10.00,$15.00,,,20950,20950,$15.00,$20.00,,
20955,20962,$45.00,$75.00,,,20955,20962,$50.00,$80.00,,
20969,20969,$30.00,$60.00,,,20969,20969,$35.00,$65.00,,
20970,20971,$45.00,$75.00,,,20970,20971,$50.00,$80.00,,
20972,20972,$40.00,$70.00,,,20972,20972,$45.00,$75.00,,
20973,20973,$35.00,$65.00,,,20973,20973,$40.00,$70.00,,
20974,20974,$6.00,$6.00,,,20974,20974,$11.00,$11.00,,
20975,20976,$15.00,$45.00,,,20975,20976,$20.00,$50.00,,
20979,20979,$10.00,$15.00,,,20979,20979,$15.00,$20.00,,
20982,20983,$20.00,$50.00,,,20982,20983,$25.00,$55.00,,
20985,20987,$30.00,$60.00,,,20985,20987,$35.00,$65.00,,
20999,20999,$45.00,$75.00,,,20999,20999,$50.00,$80.00,,
21010,21010,$30.00,$60.00,,,21010,21010,$35.00,$65.00,,
21011,21011,$45.00,$75.00,,,21011,21011,$50.00,$80.00,,
21012,21012,$50.00,$80.00,,,21012,21012,$55.00,$85.00,,
21013,21013,$45.00,$75.00,,,21013,21013,$50.00,$80.00,,
21014,21014,$50.00,$80.00,,,21014,21014,$55.00,$85.00,,
21015,21015,$30.00,$60.00,,,21015,21015,$35.00,$65.00,,
21016,21016,$33.00,$63.00,,,21016,21016,$38.00,$68.00,,
21025,21045,$20.00,$50.00,,,21025,21045,$25.00,$55.00,,
21046,21049,$20.00,$50.00,,,21046,21049,$25.00,$55.00,,
21050,21050,$25.00,$55.00,,,21050,21050,$30.00,$60.00,,
21060,21060,$22.00,$52.00,,,21060,21060,$27.00,$57.00,,
